"Reference","Value","Qty"
"D101","WS2812B-2020","1"
"D102","WS2812B-2020","1"
"D103","WS2812B-2020","1"
"D104","WS2812B-2020","1"
"D105","WS2812B-2020","1"
"D106","WS2812B-2020","1"
"D107","WS2812B-2020","1"
"D108","WS2812B-2020","1"
"D109","WS2812B-2020","1"
"D110","WS2812B-2020","1"
"D111","WS2812B-2020","1"
"D112","WS2812B-2020","1"
"D113","WS2812B-2020","1"
"D114","WS2812B-2020","1"
"D115","WS2812B-2020","1"
"D116","WS2812B-2020","1"
"D117","WS2812B-2020","1"
"D118","WS2812B-2020","1"
"D119","WS2812B-2020","1"
"D120","WS2812B-2020","1"
"D121","WS2812B-2020","1"
"D122","WS2812B-2020","1"
"D123","WS2812B-2020","1"
"J1","MJ-179PH","1"
"R1","1k","1"
"R2","10k","1"
"R3","10k","1"
"U1","SN74HCT244PWR","1"
"U2","Raspberry Pi Pico W","1"
